         1462369 function calls (1438706 primitive calls) in 1.476 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.001    0.000    0.005    0.000 typing.py:2814(__new__)
        1    0.000    0.000    0.005    0.005 resolver.py:1(<module>)
      265    0.001    0.000    0.005    0.000 overrides.py:144(decorator)
       93    0.000    0.000    0.005    0.000 typing.py:521(__getitem__)
     1050    0.002    0.000    0.005    0.000 font_manager.py:989(_json_decode)
        3    0.000    0.000    0.005    0.002 patches.py:2293(__init_subclass__)
        1    0.000    0.000    0.005    0.005 backend_tkagg.py:1(<module>)
        6    0.000    0.000    0.005    0.001 patches.py:2335(pprint_styles)
     1572    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:372(release)
        2    0.000    0.000    0.005    0.003 datetimelike.py:1(<module>)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.005    0.005 generic.py:244(NDFrame)
        1    0.000    0.000    0.005    0.005 artist.py:1(<module>)
      198    0.001    0.000    0.005    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.005    0.005 table.py:1(<module>)
    11482    0.003    0.000    0.005    0.000 _parser.py:168(__getitem__)
        1    0.000    0.000    0.005    0.005 socket.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _internal.py:1(<module>)
        3    0.000    0.000    0.005    0.002 accessor.py:1(<module>)
       91    0.001    0.000    0.005    0.000 typing.py:753(Literal)
        1    0.000    0.000    0.005    0.005 ssl.py:1(<module>)
       46    0.000    0.000    0.005    0.000 core.py:3146(mayReturnEmpty)
    48/27    0.000    0.000    0.005    0.000 functools.py:982(__get__)
        1    0.000    0.000    0.005    0.005 tempfile.py:1(<module>)
    42/21    0.000    0.000    0.005    0.000 core.py:3119(re)
        1    0.000    0.000    0.005    0.005 _pickle.py:1(<module>)
        1    0.000    0.000    0.005    0.005 legend.py:1(<module>)
     7573    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
